shipment_id,order_id,tiempo_shipped_id,tiempo_delivered_id,dias_en_transito,carrier,tracking_number,status
9000000057,1000000057,20250221.0,20250222.0,1,PICKUP,,DELIVERED
9000000058,1000000058,,,,Correo Argentino,,CANCELLED
9000000059,1000000059,20240702.0,20240707.0,5,Correo Argentino,TRK-GYMRRQSRNH,DELIVERED
9000000060,1000000060,,,,PICKUP,,CANCELLED
9000000061,1000000061,,,3,Correo Argentino,TRK-1JVAA08D71,DELIVERED
9000000062,1000000062,20241223.0,20241224.0,1,PICKUP,,DELIVERED
9000000063,1000000063,20240531.0,20240602.0,2,Correo Argentino,TRK-4QRWG4O3VS,DELIVERED
9000000064,1000000064,,,2,Correo Argentino,TRK-GHR4X51MO5,DELIVERED
9000000065,1000000065,20240918.0,20240922.0,4,Correo Argentino,TRK-Y0WLIWLAP3,DELIVERED
9000000066,1000000066,,,,Correo Argentino,,CANCELLED
9000000067,1000000067,,,5,Correo Argentino,TRK-WPHKOKPY98,DELIVERED
9000000068,1000000068,20241202.0,20241205.0,3,Correo Argentino,TRK-95ADJ6QXJ8,SHIPPED
9000000069,1000000069,20240613.0,20240618.0,5,Correo Argentino,TRK-75UERJVV88,DELIVERED
9000000070,1000000070,,,4,Correo Argentino,TRK-SHAJ4MH7LK,SHIPPED
9000000071,1000000071,20240722.0,20240723.0,1,PICKUP,,DELIVERED
9000000072,1000000072,20240203.0,20240208.0,5,Correo Argentino,TRK-NH83FI4OJA,SHIPPED
9000000073,1000000073,20241208.0,20241211.0,3,Correo Argentino,TRK-3BTEYU6C8K,SHIPPED
9000000074,1000000074,20241215.0,20241221.0,6,Correo Argentino,TRK-NQPTS0MMBB,DELIVERED
9000000075,1000000075,,,4,Correo Argentino,TRK-A7O7MMZ1H4,DELIVERED
9000000076,1000000076,20240302.0,20240304.0,2,Correo Argentino,TRK-Z56VK3U0QJ,DELIVERED
9000000077,1000000077,20241204.0,20241205.0,1,PICKUP,,SHIPPED
9000000078,1000000078,20250110.0,20250113.0,3,Correo Argentino,TRK-N8XZ4OSU2M,DELIVERED
9000000079,1000000079,,,4,Correo Argentino,TRK-XADN2TVDNH,SHIPPED
9000000080,1000000080,20241112.0,20241117.0,5,Correo Argentino,TRK-S1OQO0J4EA,DELIVERED
9000000081,1000000081,20250203.0,20250206.0,3,Correo Argentino,TRK-LSXL8NV9UZ,DELIVERED
9000000082,1000000082,,,3,Correo Argentino,TRK-4U2I1W5ENR,DELIVERED
9000000083,1000000083,20240211.0,20240215.0,4,Correo Argentino,TRK-3QNYBMC06W,DELIVERED
9000000084,1000000084,20241126.0,20241129.0,3,Correo Argentino,TRK-LWD8M7AMND,SHIPPED
9000000085,1000000085,,,2,Correo Argentino,TRK-0RBFVTM6X4,DELIVERED
9000000086,1000000086,,,2,Correo Argentino,TRK-A169DTQM73,DELIVERED
9000000087,1000000087,,,,Correo Argentino,,CANCELLED
9000000088,1000000088,20240204.0,20240209.0,5,Correo Argentino,TRK-TBUL818CS4,DELIVERED
9000000089,1000000089,,,3,Correo Argentino,TRK-BJOJ02WY0U,DELIVERED
9000000090,1000000090,20240128.0,20240201.0,4,Correo Argentino,TRK-E1JQQXF2A8,DELIVERED
9000000091,1000000091,20240218.0,20240220.0,2,Correo Argentino,TRK-9YZ6V1VTIX,DELIVERED
9000000092,1000000092,20240614.0,20240616.0,2,Correo Argentino,TRK-UO5Q5LF7GD,DELIVERED
9000000093,1000000093,20241114.0,20241115.0,1,PICKUP,,DELIVERED
9000000094,1000000094,20241227.0,20241228.0,1,PICKUP,,SHIPPED
9000000095,1000000095,,,4,Correo Argentino,TRK-RRS7KQI5WW,DELIVERED
9000000096,1000000096,,,1,PICKUP,,DELIVERED
9000000097,1000000097,20240612.0,20240613.0,1,PICKUP,,DELIVERED
9000000098,1000000098,20250117.0,20250122.0,5,Correo Argentino,TRK-N1XL8YRR4C,DELIVERED
9000000099,1000000099,20240228.0,20240303.0,4,Correo Argentino,TRK-HUON3QASLA,DELIVERED
9000000100,1000000100,,,,Correo Argentino,,CANCELLED
9000000101,1000000101,20240331.0,20240405.0,5,Correo Argentino,TRK-BD9O45FG3M,SHIPPED
9000000102,1000000102,20241120.0,20241124.0,4,Correo Argentino,TRK-RBXP2IU4CP,DELIVERED
9000000103,1000000103,20240325.0,20240326.0,1,PICKUP,,READY
9000000104,1000000104,20240324.0,20240328.0,4,Correo Argentino,TRK-TPWY0TUZG2,DELIVERED
9000000105,1000000105,20240513.0,20240516.0,3,Correo Argentino,TRK-3BQ6FWSKLW,DELIVERED
9000000106,1000000106,20250209.0,20250211.0,2,Correo Argentino,TRK-6DCLEDO515,DELIVERED
9000000107,1000000107,20240523.0,20240528.0,5,Correo Argentino,TRK-RB1W0XWXVT,DELIVERED
9000000108,1000000108,,,1,PICKUP,,DELIVERED
9000000109,1000000109,20240422.0,20240423.0,1,PICKUP,,DELIVERED
9000000110,1000000110,,,,PICKUP,,CANCELLED
9000000111,1000000111,20241221.0,20241225.0,4,Correo Argentino,TRK-UXV2O2QSZO,DELIVERED
9000000112,1000000112,20250228.0,20250301.0,1,PICKUP,,SHIPPED
9000000113,1000000113,,,,PICKUP,,CANCELLED
9000000114,1000000114,20240917.0,20240918.0,1,PICKUP,,SHIPPED
9000000115,1000000115,20240220.0,20240222.0,2,Correo Argentino,TRK-9SFI30M85Y,DELIVERED
9000000116,1000000116,20240702.0,20240705.0,3,Correo Argentino,TRK-GCUU54HEAG,DELIVERED
9000000117,1000000117,20250120.0,20250123.0,3,Correo Argentino,TRK-YVM19QXR2C,DELIVERED
9000000118,1000000118,,,2,Correo Argentino,TRK-JRBNVL0OS3,DELIVERED
9000000119,1000000119,,,1,PICKUP,,DELIVERED
9000000120,1000000120,20240419.0,20240421.0,2,Correo Argentino,TRK-YMYMMHLK1B,DELIVERED
9000000121,1000000121,20241220.0,20241221.0,1,PICKUP,,DELIVERED
9000000122,1000000122,,,1,PICKUP,,DELIVERED
9000000123,1000000123,,,,Correo Argentino,,CANCELLED
9000000124,1000000124,20240207.0,20240211.0,4,Correo Argentino,TRK-OUKA4E7YCS,DELIVERED
9000000125,1000000125,20240709.0,20240710.0,1,PICKUP,,DELIVERED
9000000126,1000000126,20240612.0,20240613.0,1,PICKUP,,DELIVERED
9000000127,1000000127,20240229.0,20240304.0,4,Correo Argentino,TRK-LP15TFTZWC,DELIVERED
9000000128,1000000128,,,,Correo Argentino,,CANCELLED
9000000129,1000000129,,,3,Correo Argentino,TRK-OTE0Q32RV2,DELIVERED
9000000130,1000000130,,,1,PICKUP,,SHIPPED
9000000131,1000000131,20240125.0,20240126.0,1,PICKUP,,DELIVERED
9000000132,1000000132,20240727.0,20240801.0,5,Correo Argentino,TRK-ZK0XF0TEFY,DELIVERED
9000000133,1000000133,20240614.0,20240615.0,1,PICKUP,,DELIVERED
9000000134,1000000134,20240106.0,20240107.0,1,PICKUP,,DELIVERED
9000000135,1000000135,20240530.0,20240531.0,1,PICKUP,,SHIPPED
9000000136,1000000136,20250121.0,20250125.0,4,Correo Argentino,TRK-SB9FYY9V3Z,DELIVERED
9000000137,1000000137,20241116.0,20241121.0,5,Correo Argentino,TRK-8EM2BGA7SC,SHIPPED
9000000138,1000000138,20240104.0,20240108.0,4,Correo Argentino,TRK-W6GIOKOQS8,SHIPPED
9000000139,1000000139,20240407.0,20240412.0,5,Correo Argentino,TRK-Q8P6U5PS47,DELIVERED
9000000140,1000000140,20250217.0,20250218.0,1,PICKUP,,DELIVERED
9000000141,1000000141,20241130.0,20241201.0,1,PICKUP,,DELIVERED
9000000142,1000000142,,,2,Correo Argentino,TRK-AT0A573HXB,DELIVERED
9000000143,1000000143,20240606.0,20240607.0,1,PICKUP,,DELIVERED
9000000144,1000000144,,,,PICKUP,,CANCELLED
9000000145,1000000145,,,4,Correo Argentino,TRK-5WJ0VSGHJU,DELIVERED
9000000146,1000000146,20240506.0,20240511.0,5,Correo Argentino,TRK-XNALT4U6O3,DELIVERED
9000000147,1000000147,20241208.0,20241213.0,5,Correo Argentino,TRK-TVS9QKJFPY,DELIVERED
9000000148,1000000148,,,3,Correo Argentino,TRK-IAC72SYOJT,DELIVERED
9000000149,1000000149,20250122.0,20250127.0,5,Correo Argentino,TRK-86P5XH4ZUZ,DELIVERED
9000000150,1000000150,,,1,PICKUP,,DELIVERED
9000000151,1000000151,20240416.0,20240417.0,1,PICKUP,,DELIVERED
9000000152,1000000152,20240108.0,20240109.0,1,PICKUP,,DELIVERED
9000000153,1000000153,,,,PICKUP,,CANCELLED
9000000154,1000000154,20240701.0,20240702.0,1,PICKUP,,SHIPPED
9000000155,1000000155,20240213.0,20240217.0,4,Correo Argentino,TRK-MPCEM8ML7K,DELIVERED
9000000156,1000000156,20241029.0,20241030.0,1,PICKUP,,DELIVERED
9000000157,1000000157,,,,PICKUP,,CANCELLED
9000000158,1000000158,20240424.0,20240425.0,1,PICKUP,,DELIVERED
9000000159,1000000159,20240715.0,20240720.0,5,Correo Argentino,TRK-7LRC6G1HAV,DELIVERED
9000000160,1000000160,20240613.0,20240614.0,1,PICKUP,,DELIVERED
9000000161,1000000161,20241022.0,20241026.0,4,Correo Argentino,TRK-ZU6O2A2X17,DELIVERED
9000000162,1000000162,,,1,PICKUP,,SHIPPED
9000000163,1000000163,20240225.0,20240229.0,4,Correo Argentino,TRK-U6UA2YY3HB,DELIVERED
9000000164,1000000164,20250223.0,20250225.0,2,Correo Argentino,TRK-TMG2PU2NU4,DELIVERED
9000000165,1000000165,,,4,Correo Argentino,TRK-D8V0DBNSG3,DELIVERED
9000000166,1000000166,,,2,Correo Argentino,TRK-TTEUGQV2X2,DELIVERED
9000000167,1000000167,,,,Correo Argentino,,CANCELLED
9000000168,1000000168,,,,Correo Argentino,,CANCELLED
9000000169,1000000169,20240709.0,20240714.0,5,Correo Argentino,TRK-NM8H174TJH,DELIVERED
9000000170,1000000170,20240329.0,20240330.0,1,PICKUP,,SHIPPED
9000000171,1000000171,20250228.0,,3,Correo Argentino,TRK-GZTE0MZNMX,READY
9000000172,1000000172,20240508.0,20240512.0,4,Correo Argentino,TRK-DGOJGP2GBU,DELIVERED
9000000173,1000000173,,,5,Correo Argentino,TRK-VBAXIAQJKB,DELIVERED
9000000174,1000000174,20240907.0,20240908.0,1,PICKUP,,DELIVERED
9000000175,1000000175,20240601.0,20240604.0,3,Correo Argentino,TRK-WD62JC0VLK,SHIPPED
9000000176,1000000176,20250225.0,20250226.0,1,PICKUP,,DELIVERED
9000000177,1000000177,20241124.0,20241127.0,3,Correo Argentino,TRK-TSU2MSGQGV,DELIVERED
9000000178,1000000178,,,1,PICKUP,,SHIPPED
9000000179,1000000179,,,3,Correo Argentino,TRK-DOH59G5HG5,DELIVERED
9000000180,1000000180,20240522.0,20240524.0,2,Correo Argentino,TRK-WTK41NS6CW,DELIVERED
9000000181,1000000181,20241113.0,20241115.0,2,Correo Argentino,TRK-2HK5GYIMQ5,DELIVERED
9000000182,1000000182,20240909.0,20240916.0,7,Correo Argentino,TRK-3VO06V5F4C,DELIVERED
9000000183,1000000183,20241026.0,20241027.0,1,PICKUP,,SHIPPED
9000000184,1000000184,,,1,PICKUP,,SHIPPED
9000000185,1000000185,20240719.0,20240724.0,5,Correo Argentino,TRK-XVT3OPQZDN,DELIVERED
9000000186,1000000186,20240731.0,20240802.0,2,Correo Argentino,TRK-6LCGCSEFEL,DELIVERED
9000000187,1000000187,20250212.0,20250213.0,1,PICKUP,,DELIVERED
9000000188,1000000188,,,1,PICKUP,,DELIVERED
9000000189,1000000189,20240503.0,20240505.0,2,Correo Argentino,TRK-MZ7KO0QL4T,SHIPPED
9000000190,1000000190,20240606.0,20240611.0,5,Correo Argentino,TRK-X696GHSKZW,SHIPPED
9000000191,1000000191,,,,Correo Argentino,,CANCELLED
9000000192,1000000192,20240308.0,20240309.0,1,PICKUP,,SHIPPED
9000000193,1000000193,20240216.0,20240219.0,3,Correo Argentino,TRK-N0C9SM2QFJ,DELIVERED
9000000194,1000000194,,,5,Correo Argentino,TRK-7MYF01NWQ1,DELIVERED
9000000195,1000000195,20250301.0,,4,Correo Argentino,TRK-5950NTLRAC,DELIVERED
9000000196,1000000196,,,2,Correo Argentino,TRK-3RJ4BIOHK0,DELIVERED
9000000197,1000000197,20240410.0,20240412.0,2,Correo Argentino,TRK-M0DL4YCPUU,DELIVERED
9000000198,1000000198,20240204.0,20240207.0,3,Correo Argentino,TRK-XPU46U15UT,DELIVERED
9000000199,1000000199,,,5,Correo Argentino,TRK-O91D35I9X4,DELIVERED
9000000200,1000000200,20240926.0,20240929.0,3,Correo Argentino,TRK-LSZKZN0LYI,DELIVERED
9000000201,1000000201,20241117.0,20241120.0,3,Correo Argentino,TRK-WPOOZWRSXF,DELIVERED
9000000202,1000000202,,,1,PICKUP,,DELIVERED
9000000203,1000000203,20241117.0,20241118.0,1,PICKUP,,DELIVERED
9000000204,1000000204,,,,Correo Argentino,,CANCELLED
9000000205,1000000205,20241001.0,20241005.0,4,Correo Argentino,TRK-Q495C57TPW,DELIVERED
9000000206,1000000206,,,4,Correo Argentino,TRK-YOZRB7EYB4,SHIPPED
9000000207,1000000207,,,2,Correo Argentino,TRK-MXL244VRBJ,DELIVERED
9000000208,1000000208,,,1,PICKUP,,DELIVERED
9000000209,1000000209,,,2,Correo Argentino,TRK-QS7JP1ILRI,DELIVERED
9000000210,1000000210,,,2,Correo Argentino,TRK-HMK0UFUCGU,DELIVERED
9000000211,1000000211,,,1,PICKUP,,DELIVERED
9000000212,1000000212,20250219.0,20250223.0,4,Correo Argentino,TRK-EI5CQOM3OQ,DELIVERED
9000000213,1000000213,20240417.0,20240420.0,3,Correo Argentino,TRK-JVXGL1QGOU,DELIVERED
9000000214,1000000214,20240720.0,20240722.0,2,Correo Argentino,TRK-3LP62TMLP0,DELIVERED
9000000215,1000000215,20240130.0,20240203.0,4,Correo Argentino,TRK-W5E1QML5MQ,DELIVERED
9000000216,1000000216,,,5,Correo Argentino,TRK-AYM9Q11ZOD,DELIVERED
9000000217,1000000217,20240405.0,20240406.0,1,PICKUP,,DELIVERED
9000000218,1000000218,20240705.0,20240709.0,4,Correo Argentino,TRK-CP4OTN8HPB,DELIVERED
9000000219,1000000219,20240612.0,20240613.0,1,PICKUP,,SHIPPED
9000000220,1000000220,,,4,Correo Argentino,TRK-C1TLW78F6M,DELIVERED
9000000221,1000000221,,,1,PICKUP,,DELIVERED
9000000222,1000000222,20240830.0,20240831.0,1,PICKUP,,DELIVERED
9000000223,1000000223,20241224.0,20241225.0,1,PICKUP,,SHIPPED
9000000224,1000000224,,,2,Correo Argentino,TRK-E3PPMBLC09,DELIVERED
9000000225,1000000225,,,4,Correo Argentino,TRK-JVVF010AIA,DELIVERED
9000000226,1000000226,20240717.0,20240722.0,5,Correo Argentino,TRK-JJUIDCE74A,DELIVERED
9000000227,1000000227,20240718.0,20240720.0,2,Correo Argentino,TRK-GSHXM42YVK,DELIVERED
9000000228,1000000228,,,4,Correo Argentino,TRK-INJV5S1HHW,DELIVERED
9000000229,1000000229,,,,PICKUP,,CANCELLED
9000000230,1000000230,20241230.0,20250104.0,5,Correo Argentino,TRK-9MRQVD7X1J,DELIVERED
9000000231,1000000231,20240609.0,20240611.0,2,Correo Argentino,TRK-YP7VNSGOLC,SHIPPED
9000000232,1000000232,20250222.0,20250226.0,4,Correo Argentino,TRK-DZYUMNQIZK,SHIPPED
9000000233,1000000233,20241120.0,20241122.0,2,Correo Argentino,TRK-BP8B1VFO0G,DELIVERED
9000000234,1000000234,,,5,Correo Argentino,TRK-4Z78IY664L,DELIVERED
9000000235,1000000235,,,,PICKUP,,CANCELLED
9000000236,1000000236,20250104.0,20250105.0,1,PICKUP,,DELIVERED
9000000237,1000000237,20241114.0,20241115.0,1,PICKUP,,DELIVERED
9000000238,1000000238,,,1,PICKUP,,SHIPPED
9000000239,1000000239,20240221.0,20240226.0,5,Correo Argentino,TRK-6QXN6I8BLI,DELIVERED
9000000240,1000000240,20241021.0,20241026.0,5,Correo Argentino,TRK-X7LOFOLANG,DELIVERED
9000000241,1000000241,20241011.0,20241012.0,1,PICKUP,,DELIVERED
9000000242,1000000242,,,,Correo Argentino,,CANCELLED
9000000243,1000000243,,,4,Correo Argentino,TRK-36SR7I0SAS,DELIVERED
9000000244,1000000244,20240913.0,20240914.0,1,PICKUP,,DELIVERED
9000000245,1000000245,,,1,PICKUP,,DELIVERED
9000000246,1000000246,,,,Correo Argentino,,CANCELLED
9000000247,1000000247,20241203.0,20241208.0,5,Correo Argentino,TRK-F075G514A9,DELIVERED
9000000248,1000000248,20241026.0,20241027.0,1,PICKUP,,DELIVERED
9000000249,1000000249,20240419.0,20240420.0,1,PICKUP,,DELIVERED
9000000250,1000000250,20240922.0,20240926.0,4,Correo Argentino,TRK-PUN6EN1KQ1,DELIVERED
9000000251,1000000251,20240315.0,20240316.0,1,PICKUP,,DELIVERED
9000000252,1000000252,20240302.0,20240303.0,1,PICKUP,,DELIVERED
9000000253,1000000253,,,5,Correo Argentino,TRK-TSK3A0YQ6W,DELIVERED
9000000254,1000000254,20241013.0,20241014.0,1,PICKUP,,DELIVERED
9000000255,1000000255,20240814.0,20240818.0,4,Correo Argentino,TRK-8BWQRUEYS2,DELIVERED
9000000256,1000000256,20241002.0,20241006.0,4,Correo Argentino,TRK-RVD511UODZ,DELIVERED
9000000257,1000000257,,,1,PICKUP,,DELIVERED
9000000258,1000000258,20241227.0,20241229.0,2,Correo Argentino,TRK-KXPDA6C6W5,DELIVERED
9000000259,1000000259,,,3,Correo Argentino,TRK-20HMH74UZ5,DELIVERED
9000000260,1000000260,20241213.0,20241216.0,3,Correo Argentino,TRK-XYI1O46MZJ,DELIVERED
9000000261,1000000261,,,2,Correo Argentino,TRK-D0N515YRWY,DELIVERED
9000000262,1000000262,20241119.0,20241124.0,5,Correo Argentino,TRK-97AXUHZD9O,DELIVERED
9000000263,1000000263,20250101.0,20250104.0,3,Correo Argentino,TRK-FYNETUY56H,SHIPPED
9000000264,1000000264,,,1,PICKUP,,SHIPPED
9000000265,1000000265,20240428.0,20240503.0,5,Correo Argentino,TRK-2JRCHT1TPG,DELIVERED
9000000266,1000000266,,,2,Correo Argentino,TRK-VA6AR1AR6U,DELIVERED
9000000267,1000000267,20240301.0,20240305.0,4,Correo Argentino,TRK-QI2WJJ807C,DELIVERED
9000000268,1000000268,,,,Correo Argentino,,CANCELLED
9000000269,1000000269,,,,Correo Argentino,,CANCELLED
9000000270,1000000270,20240216.0,20240217.0,1,PICKUP,,DELIVERED
9000000271,1000000271,20240213.0,20240218.0,5,Correo Argentino,TRK-9Q7IVQHXSI,DELIVERED
9000000272,1000000272,20241026.0,20241031.0,5,Correo Argentino,TRK-WZYFMQFKIL,DELIVERED
9000000273,1000000273,20240302.0,20240304.0,2,Correo Argentino,TRK-N0MWFS58BQ,DELIVERED
9000000274,1000000274,20240928.0,20240929.0,1,PICKUP,,DELIVERED
9000000275,1000000275,20240622.0,20240626.0,4,Correo Argentino,TRK-UQI62K3L0W,DELIVERED
9000000276,1000000276,,,1,PICKUP,,SHIPPED
9000000277,1000000277,20241014.0,20241015.0,1,PICKUP,,DELIVERED
9000000278,1000000278,,,5,Correo Argentino,TRK-KFFN16DB0I,DELIVERED
9000000279,1000000279,,,,Correo Argentino,,CANCELLED
9000000280,1000000280,20240720.0,20240721.0,1,PICKUP,,DELIVERED
9000000281,1000000281,,,4,Correo Argentino,TRK-72W7RNTWXW,DELIVERED
9000000282,1000000282,20241229.0,20250101.0,3,Correo Argentino,TRK-V20K9JX42E,DELIVERED
9000000283,1000000283,,,4,Correo Argentino,TRK-AGYGGFMNUF,DELIVERED
9000000284,1000000284,20240309.0,20240310.0,1,PICKUP,,DELIVERED
9000000285,1000000285,,,,Correo Argentino,,CANCELLED
9000000286,1000000286,20240712.0,20240715.0,3,Correo Argentino,TRK-2HRWR931OS,DELIVERED
9000000287,1000000287,,,1,PICKUP,,SHIPPED
9000000288,1000000288,20250201.0,20250202.0,1,PICKUP,,SHIPPED
9000000289,1000000289,,,,Correo Argentino,,CANCELLED
9000000290,1000000290,20241105.0,20241109.0,4,Correo Argentino,TRK-OZ5CUWXG8T,DELIVERED
9000000291,1000000291,20241018.0,20241024.0,6,Correo Argentino,TRK-40OOBAGXKK,SHIPPED
9000000292,1000000292,,,1,PICKUP,,SHIPPED
9000000293,1000000293,,,4,Correo Argentino,TRK-TTMA008WBG,SHIPPED
9000000294,1000000294,,,,Correo Argentino,,CANCELLED
9000000295,1000000295,,,1,PICKUP,,DELIVERED
9000000296,1000000296,20240628.0,20240629.0,1,PICKUP,,SHIPPED
9000000297,1000000297,,,1,PICKUP,,DELIVERED
9000000298,1000000298,20241104.0,20241105.0,1,PICKUP,,DELIVERED
9000000299,1000000299,20240506.0,20240507.0,1,PICKUP,,DELIVERED
9000000300,1000000300,20241120.0,20241122.0,2,Correo Argentino,TRK-H5EYQT4XS3,DELIVERED
9000000301,1000000301,20240507.0,20240512.0,5,Correo Argentino,TRK-KX9CE5R5X7,SHIPPED
9000000302,1000000302,,,,Correo Argentino,,CANCELLED
9000000303,1000000303,20240316.0,20240317.0,1,PICKUP,,SHIPPED
9000000304,1000000304,20240316.0,20240320.0,4,Correo Argentino,TRK-WR4IJI934Q,DELIVERED
9000000305,1000000305,,,4,Correo Argentino,TRK-GA0XMVRUST,DELIVERED
9000000306,1000000306,20240430.0,20240503.0,3,Correo Argentino,TRK-83QUV5F3FI,DELIVERED
9000000307,1000000307,20240913.0,20240918.0,5,Correo Argentino,TRK-5G2YLFVGPI,DELIVERED
9000000308,1000000308,20240328.0,20240331.0,3,Correo Argentino,TRK-OYGHVQIZD8,SHIPPED
9000000309,1000000309,,,,PICKUP,,CANCELLED
9000000310,1000000310,20250105.0,20250107.0,2,Correo Argentino,TRK-71ZKV4IASM,DELIVERED
9000000311,1000000311,20250107.0,20250108.0,1,PICKUP,,SHIPPED
9000000312,1000000312,20250223.0,20250224.0,1,PICKUP,,DELIVERED
9000000313,1000000313,,,1,PICKUP,,DELIVERED
9000000314,1000000314,20241016.0,20241019.0,3,Correo Argentino,TRK-R04JCRW9A8,DELIVERED
9000000315,1000000315,,,3,Correo Argentino,TRK-UVM6N6PWE3,DELIVERED
9000000316,1000000316,,,1,PICKUP,,DELIVERED
9000000317,1000000317,20240817.0,20240821.0,4,Correo Argentino,TRK-5C5MWBWACJ,DELIVERED
9000000318,1000000318,20241006.0,20241007.0,1,PICKUP,,SHIPPED
9000000319,1000000319,20240421.0,20240423.0,2,Correo Argentino,TRK-MA57CRCPJ8,DELIVERED
9000000320,1000000320,,,4,Correo Argentino,TRK-DXIS15425W,DELIVERED
9000000321,1000000321,,,3,Correo Argentino,TRK-XK02RA81RX,DELIVERED
9000000322,1000000322,20241120.0,20241121.0,1,PICKUP,,DELIVERED
